SampleName,Time(abs),Temperature(room),Humidity(room)
Continuum,3730008860,25.855,12.414
Continuum,3730008865,25.877,12.398
Continuum,3730008870,25.866,12.368
Continuum,3730008875,25.866,12.375
Continuum,3730008880,25.855,12.414
Continuum,3730008885,25.877,12.452
Continuum,3730008890,25.877,12.49
Continuum,3730008895,25.855,12.52
Continuum,3730008900,25.855,12.551
Continuum,3730008905,25.855,12.559
Continuum,3730008910,25.855,12.566
Continuum,3730008915,25.877,12.551
Continuum,3730008920,25.855,12.52
Continuum,3730008925,25.855,12.497
Continuum,3730008930,25.845,12.49
Continuum,3730008935,25.855,12.482
Continuum,3730008940,25.855,12.49
Continuum,3730008945,25.877,12.49
Continuum,3730008950,25.855,12.482
Continuum,3730008955,25.877,12.482
Continuum,3730008960,25.888,12.497
Continuum,3730008965,25.855,12.536
Continuum,3730008970,25.877,12.536
Continuum,3730008975,25.877,12.528
Continuum,3730008980,25.909,12.497
Continuum,3730008985,25.866,12.475
Continuum,3730008990,25.877,12.452
Continuum,3730008995,25.877,12.452
Continuum,3730009000,25.855,12.444
Continuum,3730009005,25.877,12.436
Continuum,3730009010,25.888,12.436
Continuum,3730009015,25.855,12.444
Continuum,3730009020,25.888,12.467
Continuum,3730009025,25.877,12.459
Continuum,3730009030,25.866,12.467
Continuum,3730009035,25.888,12.444
Continuum,3730009040,25.92,12.482
Continuum,3730009045,25.898,12.536
Continuum,3730009050,25.909,12.566
Continuum,3730009055,25.909,12.574
Continuum,3730009060,25.888,12.551
Continuum,3730009065,25.909,12.528
Continuum,3730009070,25.898,12.497
Continuum,3730009075,25.898,12.505
Continuum,3730009080,25.898,12.528
Continuum,3730009085,25.92,12.536
Continuum,3730009090,25.92,12.528
Continuum,3730009095,25.92,12.528
Continuum,3730009100,25.92,12.513
Continuum,3730009105,25.931,12.467
Continuum,3730009110,25.92,12.482
Continuum,3730009115,25.888,12.482
Continuum,3730009120,25.898,12.49
Continuum,3730009125,25.898,12.497
Continuum,3730009130,25.92,12.513
Continuum,3730009135,25.931,12.49
Continuum,3730009140,25.92,12.482
Continuum,3730009145,25.909,12.475
Continuum,3730009150,25.92,12.444
Continuum,3730009155,25.909,12.429
Continuum,3730009160,25.909,12.429
Continuum,3730009165,25.92,12.436
Continuum,3730009170,25.898,12.459
Continuum,3730009175,25.92,12.459
Continuum,3730009180,25.909,12.459
Continuum,3730009185,25.92,12.429
Continuum,3730009190,25.888,12.414
Continuum,3730009195,25.92,12.383
Continuum,3730009200,25.909,12.36
Continuum,3730009205,25.888,12.345
Continuum,3730009210,25.898,12.322
Continuum,3730009215,25.92,12.307
Continuum,3730009220,25.898,12.307
Continuum,3730009225,25.92,12.314
Continuum,3730009230,25.92,12.314
Continuum,3730009235,25.898,12.337
Continuum,3730009240,25.931,12.337
Continuum,3730009245,25.909,12.33
Continuum,3730009250,25.888,12.322
Continuum,3730009255,25.898,12.33
Continuum,3730009260,25.898,12.337
Continuum,3730009265,25.898,12.36
Continuum,3730009270,25.877,12.36
Continuum,3730009275,25.909,12.398
Continuum,3730009280,25.898,12.421
Continuum,3730009285,25.888,12.444
Continuum,3730009290,25.909,12.429
Continuum,3730009295,25.931,12.398
Continuum,3730009300,25.931,12.391
Continuum,3730009305,25.931,12.398
Continuum,3730009310,25.92,12.391
Continuum,3730009315,25.931,12.383
Continuum,3730009320,25.941,12.383
Continuum,3730009325,25.92,12.383
